address,symbol,name,decimals
0x3063b738250269de1867d558d62c80a0b1ebf98b,TEST-BY,Biying,5
0x8d1a3aaa98d3e45a63836b956818ea3f663e59c4,CORN,CORN,5
0x73dd8667a8dba4387e0dce06b60eaef907c090a2,QTH,Qthereum,6
0xd182e01307aa7d1c0d32a4b92648692802aa08c5,TUI,Crypto University,8
0xeaf3cab09eccfc06a51a5843083de725d61f3de8,APHA.cx,Aphria,8
0x1e99bb0b686cd08866d30aca0afdbcc2f945c39b,SBERru.cx,Sberbank Rossii,8
0x6770d4f08f8b60163858e02752efd954b294d7fe,SKT,SwiBank,8
0xd67b8ba377f5ee3deed1282f83d28e76bab6492d,CTC,Cordyceps traceability chain,8
0xe8770c84e2222f8ee6d799ce778cf94f9067682f,LZTC,laozhang token coin,8
0xd8eee2c3014288d8bf3a422162c542a0104f314c,Ok,Norug,9
0x9195129af1ebb2876ea100c56189f9f14eb90a20,VOTE,VOTE Token,9
0x4531049c1c4f23b296e2c1818865cd4ec6c513e5,,,18
0xf380869ca59c1290a0f8f218edb47628aa71fd76,VCHF,VCHF,18
0x29d698505ed40fcce599395edbbadb94661f3030,carat,四克拉luxe,18
0x057e754e4a21b0f00b12273977fb9076dffbdaec,CRG,Crown Global,18
0xe2d2e6abf4cfa996a16333cb5642c10e39317811,,,18
0xada78a1e7cf090db682ab9b789a8c809e51bd204,XYZ,XYZ,18
0xd0d59b363c650810395e67ca69b89b012a7eb360,RR_SAU,RR_Saudi Arabia,18
0xcca81b5cdcd4dc85fa9fa59cb37a22ef4d1629d4,BENT,BENITO,18
0x94b76eb6a1622f813d615f237a35ef2fd13fdc22,MIA,MIA,18
0xa2b7f899186782edaf50ff99b5bf533daca0c930,TYC,Teng Yuan Coin,18
0x7b8f7cf29cfc5ad320e3f3a7d48d8c5e95e0c8a8,IRB,IRobot,18
0x14c87df259e20ed18dd9955c0de082802c6ef72e,LMT_,LaomoToken,18
0xd05c4cb6b5558e268267bd68e198e826b6b83042,GMFC,德亿链,18
0xd0b0af9a6503878632e89bd3652f8efcad79d560,BHB,BHB Token,18
0x66d41949efbbca83362b4e204299a729af650e2d,UND,Undermillion Club,18
0x0d65be56f53228004206ea8e47513da77e8ee0d2,GECI,GECI Coin,18
0x15ea3354ded7a3e8d027da667aada3f8414c9c3b,Kuma,KumaToken,18
0x3d5d4a69b60f3e6cf4ea9de9b828b37a31f61091,CUA,CUA,18
0xecb3c713c2d8c4732b5a8368d04b67879068cfff,SEC,SEC Token,18
0xf51216c533b386514bcdb31193b8ec106249a5ac,XTRA,Extra Credit Token,18
0x1925fd4f9e3f56d29c826bf43ae0349f5987528c,COP,COP Token,18
0xbcadea17241351d3d1ba5a8dfca468fb4e02dc07,MLT,Mega Lotto,18
0xc3aafbe201dd0545764214c72e9bfffeee796a12,SHIP,SHIP Token,18
